"Comunidad.Autónoma","Sexo","Rama.de.enseñanza","Número.de.estudiantes"
"País Vasco",0,"Ingeniería y Arquitectura",9916.857716792461
"Valencia",0,"Ingeniería y Arquitectura",33790.007311345136
"Andalucía",1,"Ingeniería y Arquitectura",16899.073512252042
"Aragón",1,"Ingeniería y Arquitectura",2847.590343116258
"Asturias",1,"Ingeniería y Arquitectura",1792.055595763851
"Cantabria",1,"Ingeniería y Arquitectura",1371.6042420572205
"Castilla la Mancha",1,"Ingeniería y Arquitectura",5912.923917699363
"Castilla y León",1,"Ingeniería y Arquitectura",1706.097292586739
"Cataluña",1,"Ingeniería y Arquitectura",17332.892826019528
"Extremadura",1,"Ingeniería y Arquitectura",1195.816019969573
"Galicia",1,"Ingeniería y Arquitectura",4393.50365567257
"Islas Baleares",1,"Ingeniería y Arquitectura",664.6042420572205
"Islas Canarias",1,"Ingeniería y Arquitectura",3104.4341609677563
"La Rioja",1,"Ingeniería y Arquitectura",793.1250904686646
"Madrid",1,"Ingeniería y Arquitectura",17513.90672496049
"Murcia",1,"Ingeniería y Arquitectura",3194.729332525885
"Navarra",1,"Ingeniería y Arquitectura",1380.111191527702
"País Vasco",1,"Ingeniería y Arquitectura",4046.1250904686644
"Valencia",1,"Ingeniería y Arquitectura",13492.30248290327
"Andalucía",2,"Ingeniería y Arquitectura",16992.642645082196
"Aragón",2,"Ingeniería y Arquitectura",2506.0555957638508
"Asturias",2,"Ingeniería y Arquitectura",963.8021210286103
"Cantabria",2,"Ingeniería y Arquitectura",788.055595763851
"Castilla la Mancha",2,"Ingeniería y Arquitectura",4041.4480599087187
"Castilla y León",2,"Ingeniería y Arquitectura",1499.7882220876475
"Cataluña",2,"Ingeniería y Arquitectura",14194.85442299455
"Extremadura",2,"Ingeniería y Arquitectura",1000.3229694400543
"Galicia",2,"Ingeniería y Arquitectura",5282.378565203905
"Islas Baleares",2,"Ingeniería y Arquitectura",668.8021210286103
"Islas Canarias",2,"Ingeniería y Arquitectura",2293.632039939146
"La Rioja",2,"Ingeniería y Arquitectura",796.5486462933695
"Madrid",2,"Ingeniería y Arquitectura",13388.50365567257
"Murcia",2,"Ingeniería y Arquitectura",3604.8438178514984
"Navarra",2,"Ingeniería y Arquitectura",1542.8021210286101
"País Vasco",2,"Ingeniería y Arquitectura",2813.7743231466848
"Valencia",2,"Ingeniería y Arquitectura",7140.996706202089
