"Comunidad.Autónoma","Sexo","Rama.de.enseñanza","Número.de.estudiantes"
"Aragón",1,"Ingeniería y Arquitectura",2477
"Asturias",1,"Ingeniería y Arquitectura",1564
"Cantabria",1,"Ingeniería y Arquitectura",944
"Castilla la Mancha",1,"Ingeniería y Arquitectura",4174
"Castilla y León",1,"Ingeniería y Arquitectura",1307
"Cataluña",1,"Ingeniería y Arquitectura",14696
"Extremadura",1,"Ingeniería y Arquitectura",925
"Galicia",1,"Ingeniería y Arquitectura",3353
"Islas Baleares",1,"Ingeniería y Arquitectura",237
"Islas Canarias",1,"Ingeniería y Arquitectura",2349
"La Rioja",1,"Ingeniería y Arquitectura",280
"Madrid",1,"Ingeniería y Arquitectura",14820
"Murcia",1,"Ingeniería y Arquitectura",2254
"Navarra",1,"Ingeniería y Arquitectura",924
"País Vasco",1,"Ingeniería y Arquitectura",3533
"Valencia",1,"Ingeniería y Arquitectura",11226
